Date,Close,High,Low,Open,Volume,returns,volatility,arima_pred
2019-09-05,10847.900390625,10920.099609375,10816.0,10860.9501953125,595700,0.000299642034456,0.0110405016509236,0.0001344944670894932
2019-09-06,10946.2001953125,10957.0498046875,10867.4501953125,10883.7998046875,497200,0.0090208330367241,0.0108934608319883,0.00046643116269201595
2019-09-09,11003.0498046875,11028.849609375,10889.7998046875,10936.7001953125,412500,0.0051801074294417,0.0108169090256959,0.00013149119980779923
2019-09-11,11035.7001953125,11054.7998046875,11011.650390625,11028.5,687100,0.00296300057966,0.0106413994938935,0.0003207822248828299
2019-09-12,10982.7998046875,11081.75,10964.9501953125,11058.2998046875,551400,-0.0048050950254965,0.010095483413091,0.000345345200048961
2019-09-13,11075.900390625,11084.4501953125,10945.75,10986.7998046875,624300,0.0084412171097482,0.0101526659495874,0.0005727909483548563
2019-09-16,11003.5,11052.7001953125,10968.2001953125,10994.849609375,434500,-0.0065582079983637,0.0095506152402521,0.00012532214512480294
2019-09-17,10817.599609375,11000.099609375,10796.5,11000.099609375,482000,-0.0170390027633122,0.0100252593802859,0.0006740564532337241
2019-09-18,10840.650390625,10885.150390625,10804.849609375,10872.7998046875,519200,0.0021285921026311,0.0100317288865377,0.0008667878947480666
2019-09-19,10704.7998046875,10845.2001953125,10670.25,10845.2001953125,642600,-0.0126107725834496,0.0103427740400836,0.00024948709838830727
2019-09-20,11274.2001953125,11381.900390625,10691.0,10746.7998046875,1356800,0.0518247259951442,0.0155527495036018,0.0008280218699512293
2019-09-23,11600.2001953125,11694.849609375,11471.349609375,11542.7001953125,882800,0.0285054094215263,0.0164632794237408,-0.0012317950154336775
2019-09-24,11588.2001953125,11655.0498046875,11539.2001953125,11590.7001953125,651700,-0.001035000333708,0.0158965639650195,-7.669755067921444e-05
2019-09-25,11440.2001953125,11564.9501953125,11416.099609375,11564.849609375,629100,-0.0128538704574952,0.0162534691940602,0.0005531961476573773
2019-09-26,11571.2001953125,11610.849609375,11466.349609375,11469.849609375,844500,0.011385783826013,0.0158468788445188,0.00076807554453869
2019-09-27,11512.400390625,11593.599609375,11499.75,11556.349609375,650000,-0.0050945199509384,0.0159160360651473,-6.185986282773303e-06
2019-09-30,11474.4501953125,11508.25,11390.7998046875,11491.150390625,756800,-0.0033019077276591,0.0158768215835016,0.0006592887608841142
2019-10-01,11359.900390625,11554.2001953125,11247.900390625,11515.400390625,1305400,-0.0100331967125401,0.0159171507465153,0.00045822622141870336
2019-10-03,11314.0,11370.400390625,11257.349609375,11322.25,1017500,-0.0040487479027005,0.0159209643189348,0.000704537405541606
2019-10-04,11174.75,11400.2998046875,11158.349609375,11388.4501953125,928500,-0.0123841280362274,0.0154475180277918,0.0004705990779348119
2019-10-07,11126.400390625,11233.849609375,11112.650390625,11196.2001953125,733200,-0.0043360709453904,0.015487683540484,0.0007722780247417297
